Updated Species Name (from Wilson & Reeder Mammal Species of the World)	Species Name (from original article)	Order	Brain Volume	Brain Volume Standard Deviation	Brain Mass (g)	Brain Mass Standard Deviation	Body Mass (g)	Body Mass Standard Deviation	Sex	No. Individuals	Age Class	Source	Notes
Antechinomys laniger	Antechinomys laniger	Dasyuromorphia	0.47	0.08	0.48692		17.8	4.2	NA	9	Adult	Ashwell 2007	Age class estimated from body mass
Antechinus agilis	Antechinus agilis	Dasyuromorphia	0.56	0.05	0.58016		22.1	3.2	NA	18	NA	Ashwell 2007	
Antechinus bellus	Antechinus bellus	Dasyuromorphia	0.63	0.05	0.65268		45.8	11.5	NA	4	Adult	Ashwell 2007	Age class estimated from body mass
Antechinus flavipes	Antechinus flavipes	Dasyuromorphia	0.64	0.06	0.66304		30.7	9.3	NA	17	Adult	Ashwell 2007	Age class estimated from body mass
Antechinus leo	Antechinus leo	Dasyuromorphia	0.75	0.12	0.777		60.2	9.5	NA	3	Adult	Ashwell 2007	Age class estimated from body mass
Antechinus minimus	Antechinus minimus	Dasyuromorphia	0.74	0.08	0.76664		36.3	5.5	NA	7	Adult	Ashwell 2007	Age class estimated from body mass
Antechinus sp.	Antechinus melanurus	Dasyuromorphia	0.65	0.09	0.6734		25.8	7.5	NA	10	NA	Ashwell 2007	
Antechinus sp.	Antechinus wilhelmina	Dasyuromorphia	0.78	0.08	0.80808		18.2	1.5	NA	2	NA	Ashwell 2007	
Antechinus stuartii	Antechinus stuartii	Dasyuromorphia	0.76	0.09	0.78736		29.8	12.3	NA	21	Adult	Ashwell 2007	Age class estimated from body mass
Antechinus subtropicus	Antechinus subtropicus	Dasyuromorphia	0.72	0.05	0.74592		29.1	7.7	NA	9	NA	Ashwell 2007	
Antechinus swainsonii	Antechinus swainsonii	Dasyuromorphia	1.09	0.12	1.12924		63.5	48.1	NA	13	Adult	Ashwell 2007	Age class estimated from body mass
Aotus lemurinus	Aotus zonalis	Primates			118		8890		M	6	Adult	Crile & Quiring 1940	
Aotus lemurinus	Aotus zonalis	Primates			109		9163		F	11	Adult	Crile & Quiring 1940	
Aotus lemurinus	Aotus zonalis	Primates			NA		212		NA	1	Infant	Crile & Quiring 1940	
Aotus lemurinus	Aotus zonalis	Primates			88.6		1926		M&F	18	Juvenile	Crile & Quiring 1940	
Aotus sp.	Nyctipithecus comm	Primates			21		NA		NA	1	NA	Spitzka 1903	
Aotus trivirgatus	Aotus trivirgatus	Primates			17.2	1.7	630	153	F	140	Adult	Bronson 1981	
Aotus trivirgatus	Aotus trivirgatus	Primates			17.2	1.5	720	180	M	120	Adult	Bronson 1981	
Aotus trivirgatus	Aotes trivirigatus	Primates	18.9		19.5804		NA		NA	1	NA	Haug 1987	
Aotus trivirgatus	Aotus trivirgatus	Primates			13.2		848.4		M	1	Adult	Sherwood data/this study	Estimated age of species: >18yrs; assume adult; Body mass averaged from Silva & Downing 1995
Aotus trivirgatus	Aotus trivirgatus	Primates			17.1		830		NA	5	Adult	Stephan 1981	Age class estimated from body mass
Aotus trivirgatus	Nyctopithecus trivirgatus	Primates			15.5		480		NA	1	Adult	Warncke 1908	
Aplodontia rufa	Aplodotia rufa	Rodentia			5.86		680		NA	1	Adult	Glendenning 1998	
Aplodontia rufa	Aplodontia rufa	Rodentia			7.04		806		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Apodemus agrarius	Mus agrarius	Rodentia			0.2		33.3		NA	NA	Adult	Count 1947 (Brummelkamp 1939b) 	Age class estimated from body mass
Apodemus flavicollis	Apodemus flavicollis	Rodentia			0.7		32.3		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Apodemus sylvaticus	Mus sylvaticus	Rodentia			0.59		21.6		NA	NA	Adult	Count 1947 (Brummelkamp 1939b) 	Age class estimated from body mass
Apodemus sylvaticus	Apodemus sylvaticus	Rodentia			0.58		18.6		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Arctictis binturong	Arctictis binturong	Carnivora			42.4		NA		NA	1	NA	Warncke 1908	
Arctocebus sp.	Arctocebus	Primates			7.2		323		NA	1	NA	Armstrong 1985	
Arctocephalus australis	Arctocephalus australis	Carnivora			265		48500		F	1	Adult	Bininda-Emonds 2000	
Arctocephalus australis	Arctocephalus australis	Carnivora			350		159000		M	1	Adult	Bininda-Emonds 2000	
Arctocephalus forsteri	Artocephalus forsteri	Carnivora			300		55000		F	1	Adult	Bininda-Emonds 2000	
Arctocephalus forsteri	Artocephalus forsteri	Carnivora			340		164380		M	1	Adult	Bininda-Emonds 2000	
Arctocephalus galapagoensis	Arctocephalus galapagoensis	Carnivora			280		27400		F	1	Adult	Bininda-Emonds 2000	
Arctocephalus galapagoensis	Arctocephalus galapagoensis	Carnivora			302.5		64500		M	1	Adult	Bininda-Emonds 2000	
Arctocephalus gazella	Arctocephalus gazella	Carnivora			320		38200		F	1	Adult	Bininda-Emonds 2000	
Arctocephalus gazella	Arctocephalus gazella	Carnivora			360		155000		M	1	Adult	Bininda-Emonds 2000	
Arctocephalus philippii	Arctocephalus philippii	Carnivora			415		140000		M	1	Adult	Bininda-Emonds 2000	
Arctocephalus pusillus 	Arctocephalus pusillus doriferus	Carnivora			352.5		78000		F	1	Adult	Bininda-Emonds 2000	
Arctocephalus pusillus 	Arctocephalus pusillus pusillus	Carnivora			322.5		78000		F	1	Adult	Bininda-Emonds 2000	
Arctocephalus pusillus 	Arctocephalus pusillus doriferus	Carnivora			425		279500		M	1	Adult	Bininda-Emonds 2000	
Arctocephalus pusillus 	Arctocephalus pusillus pusillus	Carnivora			377.5		279500		M	1	Adult	Bininda-Emonds 2000	
Arctocephalus tropicalis	Arctocephalus tropicalis	Carnivora			330		50000		F	1	Adult	Bininda-Emonds 2000	
Arctocephalus tropicalis	Arctocephalus tropicalis	Carnivora			322.5		152500		M	1	Adult	Bininda-Emonds 2000	
Artibeus jamaicensis	Artibeus jamaicensis	Chiroptera			0.93		37.5		NA	101	Adult	Pirlot & Stephan 1970	
Artibeus lituratus	Artibeus lituratus	Chiroptera			1.05		58.7		NA	23	Adult	Pirlot & Stephan 1970	
Arvicanthis niloticus	Arvicanthis niloticus	Rodentia			1.33		84.5		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Arvicola amphibius	Arvicola terrestris	Rodentia			0.355		90.25		NA	NA	Not Adult	Count 1947 (Brummelkamp 1939b) 	Age class estimated from body mass
Arvicola amphibius	Arvicola terrestris	Rodentia			1.64		168.3		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Atelerix albiventris	Erinaceus albiventris	Erinaceomorpha			2.24		280		M&F	NA	Adult	Mace 1981	
Atelerix algirus	Aethechinus algirus	Erinaceomorpha			3.2		790		NA	3	Adult	Stephan 1981	Age class estimated from body mass
Ateles belzebuth	Ateles beelzebub	Primates			97.5		1870		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Ateles fusciceps	Ateles dariensis	Primates			118.4		8890		M	6	Adult	Crile & Quiring 1940	
Ateles fusciceps	Ateles dariensis	Primates			108.8		9163		F	11	Adult	Crile & Quiring 1940	
Ateles fusciceps	Ateles dariensis	Primates			58		407		NA	2	Infant	Crile & Quiring 1940	
Ateles fusciceps	Ateles dariensis	Primates			88.6		1926		M&F	18	Juvenile	Crile & Quiring 1940	
Ateles geoffroyi	Ateles geoffroyi	Primates			107.7	10.1	4680	1920	F	10	Adult	Bronson 1981	
