Updated Species Name (from Wilson & Reeder Mammal Species of the World)	Species Name (from original article)	Order	Brain Volume	Brain Volume Standard Deviation	Brain Mass (g)	Brain Mass Standard Deviation	Body Mass (g)	Body Mass Standard Deviation	Sex	No. Individuals	Age Class	Source	Notes
Delphinus delphis	Delphinus delphis	Cetartiodactyla	726.834		753.000024		59000		NA	1	Adult	Marino 2000	
Delphinus delphis	Delphinus delphis	Cetartiodactyla	755.792		783.000512		75000		NA	1	Adult	Marino 2000	
Delphinus delphis	Delphinus delphis	Cetartiodactyla	783.784		812.000224		75000		NA	1	Adult	Marino 2000	
Delphinus delphis	Delphinus delphis	Cetartiodactyla	780.888		808.999968		86000		NA	1	Adult	Marino 2000	
Delphinus delphis	Delphinus delphis	Cetartiodactyla	990.347		1025.999492		86000		NA	1	Adult	Marino 2000	
Delphinus delphis	Delphinus delphis	Cetartiodactyla	845.56		876.00016		89000		NA	1	Adult	Marino 2000	
Delphinus delphis	Delphinus delphis	Cetartiodactyla	805.019		833.999684		90000		NA	1	Adult	Marino 2000	
Delphinus delphis	Delphinus delphis	Cetartiodactyla	730.695		757.00002		91000		NA	1	Adult	Marino 2000	
Delphinus delphis	Delphinus delphis	Cetartiodactyla			NA		NA		NA	NA	NA	Marino 2004	
Delphinus delphis	Delphinus delphis	Cetartiodactyla			785		50000		M	1	Adult	Pilleri & Busnel 1969	Age class estimated from body mass
Delphinus delphis	Delphinus delphis	Cetartiodactyla			790		50000		M	1	Adult	Pilleri & Busnel 1969	Age class estimated from body mass
Delphinus delphis	Delphinus delphis	Cetartiodactyla			685		52000		F	1	Adult	Pilleri & Busnel 1969	Age class estimated from body mass
Delphinus delphis	Delphinus delphis	Cetartiodactyla			635		52000		M	1	Adult	Pilleri & Busnel 1969	Age class estimated from body mass
Delphinus delphis	Delphinus delphis	Cetartiodactyla			780		52000		F	1	Adult	Pilleri & Busnel 1969	Age class estimated from body mass
Delphinus delphis	Delphinus delphis	Cetartiodactyla			824		54000		M	1	Adult	Pilleri & Busnel 1969	Age class estimated from body mass
Delphinus delphis	Delphinus delphis	Cetartiodactyla			760		55000		M	1	Adult	Pilleri & Busnel 1969	Age class estimated from body mass
Delphinus delphis	Delphinus delphis	Cetartiodactyla			875		58000		M	1	Adult	Pilleri & Busnel 1969	Age class estimated from body mass
Delphinus delphis	Delphinus delphis	Cetartiodactyla			820		59000		M	1	Adult	Pilleri & Busnel 1969	Age class estimated from body mass
Delphinus delphis	Delphinus delphis	Cetartiodactyla			815		59000		F	1	Adult	Pilleri & Busnel 1969	Age class estimated from body mass
Delphinus delphis	Delphinus delphis	Cetartiodactyla			830		61000		M	1	Adult	Pilleri & Busnel 1969	Age class estimated from body mass
Delphinus delphis	Delphinus delphis	Cetartiodactyla			750		65000		M	1	Adult	Pilleri & Busnel 1969	Age class estimated from body mass
Delphinus delphis	Delphinus delphis	Cetartiodactyla			842		66000		M	1	Adult	Pilleri & Busnel 1969	Age class estimated from body mass
Delphinus delphis	Delphinus delphis	Cetartiodactyla			788		37000		M	1	Not Adult	Pilleri & Busnel 1969	Age class estimated from body mass
Delphinus delphis	Delphinus delphis	Cetartiodactyla			650		37000		M	1	Not Adult	Pilleri & Busnel 1969	Age class estimated from body mass
Delphinus delphis	Delphinus delphis	Cetartiodactyla			660		40000		F	1	Not Adult	Pilleri & Busnel 1969	Age class estimated from body mass
Delphinus delphis	Delphinus delphis	Cetartiodactyla			675		42000		M	1	Not Adult	Pilleri & Busnel 1969	Age class estimated from body mass
Delphinus delphis	Delphinus delphis	Cetartiodactyla			700		47000		F	1	Not Adult	Pilleri & Busnel 1969	Age class estimated from body mass
Delphinus delphis	Delphinus delphis	Cetartiodactyla			778		48000		M	1	Not Adult	Pilleri & Busnel 1969	Age class estimated from body mass
Delphinus sp.	Delphinus	Cetartiodactyla			802		69000		NA	9	NA	Ridgway & Brownson 1979	
Delphinus sp.	Delphinus	Cetartiodactyla			787		70000		F	1	Adult	Ridgway et al. 1987	
Delphinus sp.	Delphinus	Cetartiodactyla			757		91000		M	1	Adult	Ridgway et al. 1987	
Dendrolagus benettianus	Dendrolagus benettianus	Diprotodontia	18.5	5.4	19.166		2078	1531	NA	4	Not Adult	Ashwell 2007	Age class estimated from body mass
Dendrolagus dorianus	Dendrolagus dorianus	Diprotodontia	32.3	2.7	33.4628		7897	1332	NA	7	Adult	Ashwell 2007	Age class estimated from body mass
Dendrolagus goodfellowi	Dendrolagus goodfellowi	Diprotodontia	28.4	2.2	29.4224		5968	1751	NA	7	NA	Ashwell 2007	
Dendrolagus inustus	Dendrolagus inustus	Diprotodontia	30.1	2.3	31.1836		10119	2819	NA	5	Adult	Ashwell 2007	Age class estimated from body mass
Dendrolagus lumholtzi	Dendrolagus lumholtzi	Diprotodontia	26.2	3.5	27.1432		4366	1159	NA	3	Not Adult	Ashwell 2007	Age class estimated from body mass
Dendrolagus matschiei	Dendrolagus matschiei	Diprotodontia	27.5		28.49		4160		NA	1	Not Adult	Ashwell 2007	Age class estimated from body mass
Dendrolagus scottae	Dendrolagus scottae	Diprotodontia	29.2	3.6	30.2512		8666	3329	NA	3	NA	Ashwell 2007	
Dendrolagus spadix	Dendrolagus spadix	Diprotodontia	28.5		29.526		4947		NA	1	Not Adult	Ashwell 2007	Age class estimated from body mass
Dendrolagus ursinus	Dendrolagus ursinus	Diprotodontia	26.3	7.4	27.2468		5009	1711	NA	2	NA	Ashwell 2007	
Desmana moschata	Desmana moschata	Eulipotyphla			4		440		NA	1	Adult	Stephan 1981	Age class estimated from body mass
Desmodus rotundus	Desmodus rotundus muriunus	Chiroptera			0.936		28		M&F	5	Adult	Crile & Quiring 1940	
Desmodus rotundus	Desmodus rotundus	Chiroptera			0.86		30		NA	12	Adult	Pirlot & Stephan 1970	
Diaemus youngi	Diaemus youngi	Chiroptera			0.97		34.6		NA	6	Adult	Pirlot & Stephan 1970	
Dicrostonyx groenlandicus	Dicrostonyx groenlandicus	Rodentia			0.72		68.4		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Dicrostonyx sp.	Dicrostonyx rubricatus richardsoni	Rodentia			0.8983		52.1		M	4	NA	Crile & Quiring 1940	
Dicrostonyx torquatus	Dicrostonyx torquatus	Rodentia			0.84		73		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Didelphis marsupialis	Didelphys marsupialis	Didelphimorphia			6.3		1700		NA	1	Adult	Warncke 1908	
Didelphis marsupialis	Didelphys cancrivorus	Didelphimorphia			5.8		1370		NA	1	Adult	Warncke 1908	
Didelphis marsupialis	Didelphys cancrivorus	Didelphimorphia			5.2		698		NA	1	NA	Warncke 1908	
Didelphis marsupialis	Didelphys cancrivorus	Didelphimorphia			4.8		470		NA	1	NA	Warncke 1908	
Didelphis marsupialis	Didelphys cancrivorus	Didelphimorphia			3.9		438		NA	1	NA	Warncke 1908	
Didelphis sp.	Didelphis marsupialis californica	Didelphimorphia	6.35		6.5786		2842		NA	1	NA	Ashwell 2007	
Didelphis virginiana	Didelphis virginiana	Didelphimorphia	6.72	2.02	6.96192		2797	1803	NA	11	Adult	Ashwell 2007	Age class estimated from body mass
Dinomys branickii	Dinomys branickii	Rodentia			26.95		14000		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Dipodillus campestris	Gerbillus campestris	Rodentia			0.9		27.5		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Dipodillus dasyurus	Gerbillus dasyurus	Eulipotyphla			1.32		20.5		M&F	NA	Adult	Mace 1981	Body mass estimated from Silva & Downing 1995
Dipodomys agilis	Dipodomys agilis	Rodentia			1.34		61.4		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Dipodomys deserti	Dipodomys deserti	Rodentia	1.68	0.08	1.74048	0.08288	114.7	19.2	M	8	Adult	Hafner 1984	Took brain endocranial volume and multiplied by 1.036 to convert to grams
Dipodomys deserti	Dipodomys deserti	Rodentia			1.74		130.2		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Dipodomys heermanni	Dipodomys heermanni	Rodentia	1.45	0.06	1.5022	0.06216	71.3	4.9	M	10	Adult	Hafner 1984	Took brain endocranial volume and multiplied by 1.036 to convert to grams
Dipodomys heermanni	Dipodomys heermani	Rodentia			1.37		60		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Dipodomys merriami	Dipodomys merriami	Rodentia			0.39		35		NA	1	Adult	Glendenning 1998	
Dipodomys merriami	Dipodomys merriami	Rodentia	1.11	0.08	1.14996	0.08288	41	2.8	M	10	Adult	Hafner 1984	Took brain endocranial volume and multiplied by 1.036 to convert to grams
Dipodomys merriami	Dipodomys merriami	Rodentia			1.05		37.8		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Dipodomys microps	Dipodomys microps	Rodentia	1.18	0.06	1.22248		65.7	9.6	M	10	Adult	Hafner 1984	Took brain endocranial volume and multiplied by 1.036 to convert to grams
Dipodomys microps	Dipodomys microps	Rodentia			1.21		59.9		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Dipodomys ordii	Dipodomys ordii	Rodentia	1.46	0.11	1.51256		60.2	4.1	M	4	Adult	Hafner 1984	Took brain endocranial volume and multiplied by 1.036 to convert to grams
Dipodomys ordii	Dipodomys ordii	Rodentia			1.38		54		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Dipodomys panamintinus	Dipodomys panamintinus	Rodentia	1.54	0.11	1.59544		74	8.4	M	8	Adult	Hafner 1984	Took brain endocranial volume and multiplied by 1.036 to convert to grams
Dipodomys spectabilis	Dipodomys spectabilis	Rodentia	2.08	0.12	2.15488		146.6	14	M	9	Adult	Hafner 1984	Took brain endocranial volume and multiplied by 1.036 to convert to grams
Dipodomys spectabilis	Dipodomys spectabilis	Rodentia			1.7		142.5		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Distoechurus pennatus	Distoechurus pennatus	Diprotodontia	0.94	0.11	0.97384		45.4	15.4	NA	8	Adult	Ashwell 2007	Age class estimated from body mass
Dolichotis patagonum	Dolichotes patagonicus	Rodentia			30.5		8000		NA	1	Adult	Warncke 1908	Body mass estimated from Silva & Downing 1995
Dorcopsis atrata	Dorcopsis atrata	Diprotodontia	16.7	1.8	17.3012		6333	2020	NA	3	NA	Ashwell 2007	
Dorcopsis hageni	Dorcopsis hageni	Diprotodontia	22.5	2.2	23.31		6430	1213	NA	5	NA	Ashwell 2007	
Dorcopsis luctuosa	Dorcopsis luctuosa	Diprotodontia	20.6	2	21.3416		7392	2534	NA	4	Adult	Ashwell 2007	Age class estimated from body mass
Dorcopsis macleayi	Dorcopsis macleayi	Diprotodontia	13.5	1.4	13.986		2500	707	NA	2	NA	Ashwell 2007	
Dorcopsis muelleri	Dorcopsis muelleri	Diprotodontia	20.4	1.9	21.1344		5400	1308	NA	4	NA	Ashwell 2007	
Dorcopsulus vanheurni	Dorcopsulus vanheurni	Diprotodontia	11.8	1.2	12.2248		1546	372	NA	5	NA	Ashwell 2007	
Dremomys rufigenis	Dremomys rufigemis	Rodentia			5.41		240		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Dromiciops gliroides	Dromiciops gliroides	Microbiotheria	0.81	0.078	0.83916		21.4	6.5	NA	2	NA	Ashwell 2007	
Dugong dugon	Dugong dugon	Sirenia			160		47000		M	1	Not Adult	Kamiya 1979	Age class estimated from body mass
Dugong dugon	Dugong dugon	Sirenia			218		76500		F	1	Not Adult	Kamiya 1979	Age class estimated from body mass
Dugong dugon	Dugong dugon	Sirenia			225		80100		M	1	Not Adult	Kamiya 1979	Age class estimated from body mass
Dugong dugon	Dugong dugon	Sirenia			250		120500		F	1	Not Adult	Kamiya 1979	Age class estimated from body mass
Dugong dugon	Dugong dugon	Sirenia			250		220500		F	1	Not Adult	Kamiya 1979	Age class estimated from body mass
Dugong dugon	Dugong dugong	Sirenia			250		155000		F	1	Not Adult	Pirlot & Kamiya 1985	Age class estimated from body mass
Echinops telfairi	Echinops telfairi	Afrosoricida			0.62		87.5		NA	2	Adult	Stephan 1981	Age class estimated from body mass
Echymipera clara	Echymipera clara	Peramelemorphia	4.48	0.77	4.64128		1207	545	NA	8	Adult	Ashwell 2007	Age class estimated from body mass
Echymipera kalubu	Echymipera kalubu	Peramelemorphia	3.67	0.8	3.80212		697	373	NA	18	NA	Ashwell 2007	
Echymipera rufescens	Echymipera rufescens	Peramelemorphia	3.73	0.77	3.86428		798	576	NA	12	Adult	Ashwell 2007	Age class estimated from body mass
Eira barbara	Galera barbara	Carnivora			44.2		2000		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
Elephantulus fuscipes	Elephantulus fuscipes	Macroscelidea			1.33		57		NA	2	Adult	Stephan 1981	Age class estimated from body mass
Elephas maximus	Elephas maximus	Proboscidea			4550		2267430		F	1	Adult	Shoshani 2006	Estimated age of species: 46yrs
Elephas maximus	Elephas maximus	Proboscidea			5220		3216000		F	1	Adult	Shoshani 2006	Estimated age of species: 34yrs
Elephas maximus	Elephas maximus	Proboscidea			5000		3450400		F	1	Adult	Shoshani 2006	Estimated age of species: 33yrs
Elephas maximus	Elephas maximus indicus	Proboscidea			6075		2128000		F	1	Adult	Tower 1954	Brief formalin fixation; Estimated age of species: 50 yrs; Body mass estimated from Silva & Downing 1995
Eonycteris spelaea	Eonycteris spelea	Chiroptera			1.18		50		NA	14	Adult	Pirlot & Stephan 1970	
Equus asinus	Equus asinus	Perissodactyla			227		42640		M	1	Juvenile	Crile & Quiring 1940	
Equus asinus	Equus asinus	Perissodactyla			371		211000		M	3	Adult	Crile & Quiring 1940	Estimated age of species:13.3 yrs
Equus asinus	Equus asinus	Perissodactyla			478		291000		F	4	Adult	Crile & Quiring 1940	Estimated age of species: 20yrs
Equus asinus	Equus asinus	Perissodactyla			453		200000		NA	1	Adult	Warncke 1908	
Equus asinus	Equus asinus	Perissodactyla			236		NA		NA	1	NA	Warncke 1908	
Equus burchellii	Hippotigris bohmii	Perissodactyla			612		250000		NA	1	Adult	Warncke 1908	
Equus caballus	Equus caballus	Perissodactyla	510		528.36		NA		NA	1	NA	Haug 1987	
Equus caballus	Equus caballus	Perissodactyla			519.5		NA		F	1	NA	Spitzka 1903	
Equus caballus	Equus caballus	Perissodactyla			370		NA		NA	1	Juvenile	Warncke 1908	
Equus quagga	Equus quagga granti	Perissodactyla			412		43090		F	1	Infant	Crile & Quiring 1940	
Equus quagga	Equus quagga granti	Perissodactyla			494.4		78020		M	1	Not Adult	Crile & Quiring 1940	
Equus quagga	Equus quagga granti	Perissodactyla			541		254990		M	2	Adult	Crile & Quiring 1940	
Equus quagga	Equus quagga granti	Perissodactyla			643		317500		M	1	Adult	Crile & Quiring 1940	
Equus quagga	Equus quagga granti	Perissodactyla			555		297050		F	1	Adult	Quiring 1938	Age class estimated from body mass
Erethizon dorsatum	Erithizon dorsatum	Rodentia			21.22		2725		F	2	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Erethizon dorsatum	Erithizon dorsatum	Rodentia			30.77		2800		F	1	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Erethizon dorsatum	Erithizon dorsatum	Rodentia			19.15		3410		M	1	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Erethizon dorsatum	Erethizon dorsatum	Rodentia			24.6		5397		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Erignathus barbatus	Erignathus barbatus	Carnivora			NA		109700		F	1	Juvenile	Crile & Quiring 1940	
Erignathus barbatus	Erignathus barbatus	Carnivora			460		281000		F	1	Adult	Crile & Quiring 1940	Age class estimated from body mass
Erinaceus europaeus	Erinaceus europaeus	Erinaceomorpha			2.26		372		NA	1	Adult	Glendenning 1998	
Erinaceus europaeus	Erinaceus europaeus	Erinaceomorpha	3.7		3.8332		NA		NA	1	NA	Haug 1987	
Erinaceus europaeus	Erinaceus europaeus	Erinaceomorpha			3.77		697		M&F	NA	Adult	Mace 1981	
Erinaceus europaeus	Erinaceus europaeus	Erinaceomorpha			3.35		860		NA	5	Adult	Stephan 1981	Age class estimated from body mass
Erinaceus europaeus	Erinaceus europaeus	Erinaceomorpha			6.5		718		NA	1	Adult	Warncke 1908	
Erinaceus europaeus	Erinaceus europaeus	Erinaceomorpha			3.6		669		NA	1	Adult	Warncke 1908	
Erinaceus europaeus	Erinaceus europaeus	Erinaceomorpha			3.5		515		NA	1	Adult	Warncke 1908	
Erinaceus europaeus	Erinaceus europaeus	Erinaceomorpha			3		497.8		NA	1	Adult	Warncke 1908	
Erinaceus europaeus	Erinaceus europaeus	Erinaceomorpha			3.3		925		NA	1	Adult	Warncke 1908	
Erinaceus europaeus	Erinaceus europaeus	Erinaceomorpha			3.5		920		NA	1	Adult	Warncke 1908	
Erinaceus europaeus	Erinaceus europaeus	Erinaceomorpha			3.3		985		NA	1	Adult	Warncke 1908	
Erinaceus europaeus	Erinaceus europaeus	Erinaceomorpha			3.5		448		NA	1	Adult	Warncke 1908	
Erinaceus europaeus	Erinaceus europaeus	Erinaceomorpha			3		690		NA	1	Adult	Warncke 1908	
Erinaceus europaeus	Erinaceus europaeus	Erinaceomorpha			2.2		297		NA	1	Juvenile	Warncke 1908	Estimated age of species: 30 days
Erinaceus europaeus	Erinaceus europaeus	Erinaceomorpha			2.2		125		NA	1	Juvenile	Warncke 1908	Estimated age of species: 23 days
Erinaceus europaeus	Erinaceus europaeus	Erinaceomorpha			1.5		102.5		NA	1	Juvenile	Warncke 1908	Estimated age of species: 17 days
Erinaceus europaeus	Erinaceus europaeus	Erinaceomorpha			1.25		79.75		NA	1	Infant	Warncke 1908	Estimated age of species: Few days
Erythrocebus patas	Erythrocebus patas	Primates			97.0		9740		M	1	Adult	Sherwood data/this study	Estimated age of species: 12.2y; Body mass estimated from Silva & Downing 1995
Erythrocebus patas	Erythrocebus patas	Primates			94.5		4800		F	1	Adult	Sherwood data/this study	Estimated age of species:12.2y; Body mass estimated from Silva & Downing 1995
Erythrocebus patas	Erythrocebus patas	Primates			110.0		9740		M	1	Adult	Sherwood data/this study	Estimated age of species: 12.2y; Body mass estimated from Silva & Downing 1995
Erythrocebus patas	Erythrocebus patas	Primates			91.5		4800		F	1	Adult	Sherwood data/this study	Estimated age of species: 11.3y; Body mass estimated from Silva & Downing 1995
Erythrocebus patas	Erythrocebus patas	Primates			108		7800		NA	2	Adult	Stephan 1981	
Erythrocebus patas	Erythrocebus patas	Primates			95.5		2825		NA	1	Juvenile	Warncke 1908	
Eudorcas thomsonii	Gazella thomsoni	Cetartiodactyla			54.61		2430		F	1	Infant	Crile & Quiring 1940	
Eudorcas thomsonii	Gazella thomsoni	Cetartiodactyla			91.8		24370		M	2	Adult	Crile & Quiring 1940	Age class estimated from body mass
Eulemur albifrons	Lemur albifrons	Primates			22.3		1540		NA	1	Adult	Warncke 1908	
Eulemur fulvus	Petterus fulvus	Primates			9.5		2000		NA	1	Adult	Glendenning 1998	
Eulemur fulvus	Lemur fulvus	Primates			23.3		1400		NA	3	NA	Stephan 1981	
Eulemur macaco	Lemur macaco	Primates			21.8		2170		M	1	Adult	Hrdlicka 1925	
Eulemur macaco	Lemur macaco	Primates			25.5		1899		M	1	Adult	Hrdlicka 1925	Body was emaciated
Eulemur macaco	Lemur macaco	Primates			24.5		1290		NA	1	Adult	Warncke 1908	Emaciated
Eulemur macaco	Lemur macaco	Primates			24		2148.5		NA	1	Adult	Warncke 1908	
Eulemur macaco	Lemur macaco	Primates			22		1940		NA	1	Adult	Warncke 1908	
Eulemur mongoz	Lemur mongoz	Primates			23.2		1808		NA	1	Adult	Warncke 1908	
Eulemur mongoz	Lemur mongoz	Primates			25.8		1305		NA	1	Adult	Warncke 1908	
Eulemur mongoz	Lemur mongoz	Primates			23.1		1565		NA	1	Adult	Warncke 1908	
Eulemur rubriventer	Lemur rufiventer	Primates			24.9		1015		NA	1	Adult	Warncke 1908	
Eulemur sp.	Lemur Bruneus	Primates			26		1505		M	1	NA	Spitzka 1903	
Eulemur sp. 	Lemur div.	Primates	25.8		26.7288		NA		NA	1	NA	Haug 1987	
Eulemur sp. 	Lemur Mischling	Primates			28.3		1790		NA	1	NA	Warncke 1908	Emaciated
Eumetopias jubatus	Eumetopias jubatus	Carnivora			575		287550		F	1	Adult	Bininda-Emonds 2000	
Eumetopias jubatus	Eumetopias jubatus	Carnivora			747.5		1000000		M	1	Adult	Bininda-Emonds 2000	
Euphractus sexcinctus	Euphractus sexcinctus	Xenarthra			15.92		2930		M	1	Subadult	Pirlot & Kamiya 1983	
Euphractus sexcinctus	Dasypus sexcinctus	Xenarthra			33.5		7990		NA	1	Adult	Warncke 1908	
Felis silvestris	Felis ocreata	Carnivora			28.48		2700		F	1	NA	Crile & Quiring 1940	
Felis sp.	Felis capensis	Carnivora			53.16		5819		F	2	NA	Crile & Quiring 1940	
Felis sp.	Felis capensis	Carnivora			66.74		9955		M	1	NA	Crile & Quiring 1940	
Felis sp.	Felis oregonensis	Carnivora			106.7		28790		M	1	NA	Crile & Quiring 1940	
Funambulus pennantii	Funambulus pennanti	Rodentia			2.1		85.9		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Funisciurus anerythrus	Funisciurus anerythrus	Rodentia			4.14		218		M&F	NA	Adult	Mace 1981	"Body mass estimated from Silva & Downing 1995; Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Funisciurus carruthersi	Funisciurus carrathersi	Rodentia			4.48		268		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Funisciurus pyrrhopus	Funisciurus pyrrhops	Rodentia			4.38		200		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Galago demidoff	Galago demidovii	Primates			3.38		81		NA	2	Adult	Stephan 1981	Age class estimated from body mass
Galago senegalensis	Galago senegalensis	Primates			5		200		F	1	Adult	Crile & Quiring 1940	Body mass estimated from Silva & Downing 1995
Galago senegalensis	Galago senegalensis	Primates			3.2		210		NA	1	Adult	Glendenning 1998	
Galago senegalensis	Galago senegalensis	Primates			4.8		186		NA	1	Adult	Stephan 1981	Age class estimated from body mass
Galago senegalensis	Galago galago	Primates			7.9		515		NA	1	Adult	Warncke 1908	
Galago senegalensis	Galago galago	Primates			4		40		NA	1	Newborn	Warncke 1908	
Galago sp. 	Galago elegantulus	Primates			5.1		274		NA	1	NA	Armstrong 1985	
Galea musteloides	Galea musteloides	Rodentia			2.72		375		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Galea spixii	Kerodon Spixii	Rodentia			6.5		672		NA	1	NA	Warncke 1908	
Galemys pyrenaicus	Galemys pyrenaicus	Eulipotyphla			1.33		57.5		NA	2	Adult	Stephan 1981	Age class estimated from body mass
Galictis vittata	Galictis vittata	Carnivora			15.3		920		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
Genetta pardina	Genetta pardina	Carnivora			15.4		1032		NA	1	NA	Warncke 1908	
Genetta tigrina	Genetta tigrina suahelica	Carnivora			15.89		1302		M	2	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Genetta tigrina	Genetta tigrina suahelica	Carnivora			15.35		1525		F	1	Adult	Crile & Quiring 1940	Age class estimated from body mass
Geocapromys ingrahami	Geocapromys ingrahami	Rodentia			4.46		717.3		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Geomys breviceps	Geomys breviceps	Rodentia			1.7		138.8		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Geomys bursarius	Geomys bursarius	Rodentia			1.35		175		NA	1	Adult	Glendenning 1998	
Geomys bursarius	Geomys bursarius	Rodentia	1.56	0.18	1.61616	0.18648	192.4	51.2	M	7	Adult	Hafner 1984	Took brain endocranial volume and multiplied by 1.036 to convert to grams
Geomys bursarius	Geomys bursarius	Rodentia			2.04		202.1		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Geomys pinetis	Geomys pinetis	Rodentia	2.42	0.12	2.50712	0.12432	313.5	56.6	M	3	Adult	Hafner 1984	Took brain endocranial volume and multiplied by 1.036 to convert to grams
Gerbilliscus afra	Tatera afra	Rodentia			1.56		65		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Gerbilliscus brantsii	Tatera brantsi	Rodentia			1.56		91.7		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Gerbillurus paeba	Gerbillus paeba	Rodentia			0.84		24		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Gerbillus gerbillus	Gerbillus gerbillus	Rodentia			3.4		95		NA	1	NA	Warncke 1908	
Gerbillus gleadowi	Gerbillus gleadowi	Rodentia			0.69		26.1		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Gerbillus nanus	Gerbillus nanus	Rodentia			0.6		14		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Gerbillus pyramidum	Gerbillus pyramidum	Rodentia			0.88		40.9		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Giraffa camelopardalis	Giraffa camelopardalis tippelskirchi	Cetartiodactyla			700		1220000		M	1	Adult	Crile & Quiring 1940	Age class estimated from body mass
Giraffa camelopardalis	Camelopardalis tippelskirchi	Cetartiodactyla			700		1198000		M	1	Adult	Quiring 1938	Age class estimated from body mass
Glaucomys sabrinus	Glaucomys sabrinus	Rodentia			3.01		174		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Glaucomys volans	Glaucomys volans	Rodentia			1.71		73.1		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Glis glis	Myoxus glis	Rodentia			1.9		148		NA	1	Adult	Warncke 1908	Age class estimated from body mass
Globicephala macrorhynchus	Globicephala macrorhynchus	Cetartiodactyla	2720		2817.92		NA		NA	1	NA	Haug 1987	
Globicephala sp.	Globicephala malaena	Cetartiodactyla			NA		NA		NA	NA	NA	Marino 2004	
Glossophaga soricina	Glossophaga soricina	Chiroptera			0.39		11.2		NA	48	Adult	Pirlot & Stephan 1970	
Gorilla gorilla	Gorilla gorilla	Primates	429		444.444		NA		NA	1	NA	Haug 1987	
Gorilla gorilla	Gorilla gorilla	Primates			345		90000		F	1	Adult	Hrdlicka 1925	Body mass estimated from Silva & Downing 1995
Gorilla gorilla	Gorilla gorilla	Primates			350		90000		F	1	Adult	Hrdlicka 1925	Body mass estimated from Silva & Downing 1995
Gorilla gorilla	Gorilla gorilla	Primates			357		90000		F	1	Adult	Hrdlicka 1925	Body mass estimated from Silva & Downing 1995
Gorilla gorilla	Gorilla gorilla	Primates			405		90000		F	1	Adult	Hrdlicka 1925	Body mass estimated from Silva & Downing 1995
